Client Account,Job Client,Job Number,Job Type,Job CRN,Job Tags,Job Status,Serial Number,Client Tag,Asset Tags,Requested By,Requested Date,Finished Date,Invoice Status,Job Number,CustomerPONumber,DatePosted,PaymentStatus,Comment,Model,LocationType,Location CRN,Location CRN2,Location Name,Street Address,Suburb,State,PostCode,Notes,Line Items,Line Items Per Unit Ex. Gst,Total Ex. Gst,GST,Total
SKOPE Industries,SKOPE INDUSTRIES,SIL-1263126R,Repair,,,Completed Successfully,SK4523060298,,,James - Caterquip,11/03/2024 9:32:00 AM,10/05/2024 8:17:00 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,RF6.UBR.1,Outlet,,,Mika Restaurant,6 Airlie Esplanade,Airlie Beach,QLD,4802,"LABOUR INCLUDING FIRST ATTENDANCETO DETERMINE FAULT.
REATTENDED TO FIT NEW DOOR MECH
SUPPLIED BY SKOPE.","Call Out,Labour,DOOR TENSIONER","108.5000,217.0000,0.0000",325.5000,32.55,358.0500
SKOPE Industries,SKOPE INDUSTRIES,SIL-1270500R,Repair,,,Completed Successfully,A220310958,,,JACOB - SITE,27/03/2024 10:44:00 AM,1/06/2024 6:35:14 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,CC500 / CC435,Outlet,,,SeaLink North Queensland,2 Sir Leslie Thiess Drive,Townsville City,QLD,4810,"Check cabinet to find leading edge of evaporator coil iced up. 
Remove unit and fit access valve
 Recharge with refrigerant. 
Leak test system to find trace leakage from evaporator coil. 
Refit unit to cabinet.
Skope to advise on evaporator replacement or unit replacement
Contact customer. Advised that access is not available for  a couple of weeks.
Customer to advise","Call Out,Labour,H134a refrigerant,Av4r","30.0000,150.0000,16.8800,9.1600",206.0400,20.61,226.6500
SKOPE Industries,SKOPE INDUSTRIES,SIL-1270500R,Repair,,,Completed Successfully,A220310958,,,JACOB - SITE,27/03/2024 10:44:00 AM,1/06/2024 6:35:14 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,CC500 / CC435,Outlet,,,SeaLink North Queensland,2 Sir Leslie Thiess Drive,Townsville City,QLD,4810,"Return and remove unit from sites.
replace evaporator coil. 
return unit to sites and fit to cabinet.
NOTE: App still won't allow me to add parts used.","Labour,EVAP COIL.,Drier,134A,Solder,Oxy Acet & Vac pump,Materials","300.0000,0.0000,27.0000,33.7100,9.5000,22.0000,10.0000",402.2100,40.22,442.4300
SKOPE Industries,SKOPE INDUSTRIES,SIL-1279242R,Repair,,,Completed Successfully,A230919617,,,Craig - SKOPE RSM,12/04/2024 5:19:00 PM,15/04/2024 3:03:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,BBN 4 DR GLASS SLIDING,Outlet,,,Alice Hospitality Supplies,2 Whittaker Street,Alice Springs,NT,0871,"E.Guo 15/4/2024 Arrived onsite, inspected the unit, and discovered
the inside AC cable was disconnected. Reconnected the cable,
secured it with cable ties, and tidied up the messy cables. Tested
the unit; it cycles properly.
1 $120.00 $120.00
J.Mushangwe 15/4/2024 As above.","Labour,Extra Labour","120.0000,65.0000",185.0000,18.50,203.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1279727R,Repair,,,Completed Successfully,HA221018363,,,LUKE - SKOPE,15/04/2024 1:39:00 PM,27/05/2024 10:42:20 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DOOR,Warehouse,,,PFM WAREHOUSE - QLD - BERRINBA,29 Wayne Goss Drive,Berrinba,QLD,4117,Fit new set of castors and all top panels. Test ok.,"Labour,Extra Labour,SIDE PANELS,SIGN PANEL,FRONT CASTOR (BRAKED),BACK CASTOR (SWIVEL),Tolls in,Consumables","68.0000,67.0000,0.0000,0.0000,0.0000,0.0000,15.0000,8.0000",158.0000,15.80,173.8000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1280188R,Repair,,,Completed Successfully,HA220918017,,,Tech - Faircloth and Reynolds,16/04/2024 11:26:00 AM,21/05/2024 12:51:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,TMF1000 - ActiveCore Freezer,Outlet,,,Bellingen Pet & Vet Supplies,40 Hyde Street,Bellingen,NSW,2454,"Inspect 2-door freezer, find evaporator fan making noise, suspect bearings. Remove covers and confirm no ice on fan blades.
Advise staff to avoid over-filling freezer above load limit height. Return, replace evaporator fan motor with new, test operation and
monitor freezer coming down to temperature. All ok.","Call Out,Labour,Fan blade p/n: HB0074000313,Fan Motor Bracket p/n: HB0070113982,ECR2-0361 Fan Motor p/n: ELM11309","60.0000,285.0000,0.0000,0.0000,0.0000",345.0000,34.50,379.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1280699R,Repair,,,Futile,3002881070902027,,,Elison - 0468922294,17/04/2024 12:01:00 PM,14/06/2024 1:24:26 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,1 DR SOLID UPRIGHT FREEZER,Outlet,,,Terry Tuchel, 105 Seiferts Road,Bondoola,QLD,4703,"Attended Site 14/06/2024
Removed and replaced Deck on Freezer
Light not working
Customer has since mentioned the light is not working
Tested and Commissioned.
Attended Site 01/05/2024
Observed a small amount of ice build up in the front right corner of return air
Inspected to find condenser filter blocked with dust
Put unit into defrost to test if electric heaters were working
Inspected inside Freezer near where the ice build up is
Observed water coming through base of the deck when in defrost
Tech advises we have previously replaced the top cover to the Evaporator coil, but the water is now leaking through the
base of the deck now
Please Note:
It is recommended to replace to a new deck.","Labour,DECK","275.0000,0.0000",275.0000,27.50,302.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1280919R,Repair,,,Completed Successfully,HA220514491,,,Ian,17/04/2024 3:02:00 PM,7/06/2024 8:14:59 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,TMF1000 - ActiveCore Freezer,Outlet,,,Geraldton Grammar School, 134 George Road,Geraldton,WA,6530,"Peter Eccleston (01/05/2024) - Work Note
Drove to site and signed in at the reception desk.
Went to the canteen and changed out the fan motor.
Put the panels back in place and checked the operation. All running fine.
Drove to site and signed in at the reception desk. Went to the school canteen and pulled out the freezer. Changed out the fan motor and put all the panels back into place. Turned the cabinet on and checked the operation. All running fine. Started at -0.7 degrees C and off at-22.
Peter Eccleston (07/05/2024) - Work Note
Found the controller for the freezer not giving the correct temperature.
Recommend replacing the thermostat controller with a new one and possibly sending a junction box just in case.
Controller and sensor
David Watson (15/05/2024) - Work Note
Arrived on site and signed in.
Located freezer and switched off.
Removed old parts and replaced with new, found control box had a different colour plug and one was missing.
Put old one back in to test with new controller.
Controller switches on and alarms out.
Downloaded the skope app to check what alarm was coming out but it wasnt connecting to the bluetooth controller.
Removed new controller and put old one back.
Compressor kicked back in and unit started working again but reading -19 almost straight away so freezer still has an
issue.
Will need to get the correct control box and controller for the freezer.
Drove to site and signed in at the reception desk.
Went to the canteen and replaced the controller and junction box.
Rang to get the code for the app to set up the new controller and set it up.
Found the temperature was too high on the controller but was low in the cabinet.
Tried calling the tech support but they had left for the day.
I will call them in the morning when I get in.
Went to site and checked the system controller on the app. Found the issue with the temperature sensors are now resolved. Cabinet temperature is-13 degrees and the supply temperature is-25.4 degrees.","Labour,EVAP FAN MOTOR,Consumables,Labour,CONTROLLER.,JUNCTION BOX,CONTROLLER.,JUNCTION BOX,TEMP SENSOR","180.6200,0.0000,50.0000,301.0300,0.0000,0.0000,0.0000,0.0000,0.0000",531.6500,53.16,584.8100
SKOPE Industries,SKOPE INDUSTRIES,SIL-1281793R,Repair,,,Completed Successfully,A210913866,,,LUKE - SKOPE,19/04/2024 12:44:00 PM,31/05/2024 3:51:44 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,PG400,Outlet,,,The Bower Tree,10 Courage Street,Sippy Downs,QLD,4556,"Travel to site and complete SCS Track download.

Provide serials to Luke for assessment.

Check leak and find it to have been repaired however the suction line was left uninsulated.

System at 4° on arrival but still struggling to pull temp, it appears to still be getting starved of refrigerant.
Travel to site and gain access to system.

Find system sparking from the anti sweat fan. Open up and find it to be greasy and slimy.

Test and find dead short in the plug on the motor which caused damage to the motor terminals.

Replace motor with one from Best stock.

Test and all ok","Call Out,Labour,Labour,Travel Time,120mm fan motor","80.0000,80.0000,80.0000,80.0000,112.0000",432.0000,43.20,475.2000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1283498R,Repair,,,Completed Successfully,5061882041301122,,,Andrew,24/04/2024 12:41:00 PM,14/06/2024 5:10:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,9 DRAW UNDERBENCH FRIDGE,Outlet,,,1802 Oyster Bar - Coffin Bay,61 Esplanade,Coffin Bay,SA,5607,Assess and replace Skope 9 Drawer Under-bench Fridge under warranty.,"Labour,deck,Material (PLUG)","341.5000,0.0000,8.5000",350.0000,35.00,385.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1283588R,Repair,,,Completed Successfully,HA230714873,,,Asahi,24/04/2024 1:56:00 PM,6/06/2024 2:37:35 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DOOR,Outlet,,,Mad Cow Cafe,19 Kitchener Drive,Darwin City,NT,0800,"Arrived at Warehouse, removed faulty package unit from fridge and fitted new package unit, tested system and set up asset in skope. Found fridge all working and cooling well. Faulty package unit suspect drier filter blocked or leak in system.","Labour,DECK","100.0000,0.0000",100.0000,10.00,110.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1283639R,Repair,,,Completed Successfully,RCSKT650A-10199,,,Emma Jane,24/04/2024 5:49:00 PM,29/04/2024 10:02:16 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,SKT650,Outlet,,,Flexikitch,45-49 Tinning Street,Brunswick,VIC,3056,"29/4 -Arrived on site and located faulty unit having light issues, I found a broken door switch wihich the customer had a replacement for so we replaced the switch and confirmed correct operation. Skope to advise further info on custom unit controls.

2/5 - returned to site as requested by Skope to reset scs controller. Unit would not allow me to choose software 641. Skope to advise further.","Call Out,Labour","90.0000,270.0000",360.0000,36.00,396.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1285994R,Repair,,,Completed Successfully,211200125M,,,LUKE - SKOPE,30/04/2024 1:37:00 PM,12/06/2024 10:56:23 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Irinox EasyFresh Next M - Blast Chiller & Shock Freezer,Outlet,,,Cecconi's,505 Toorak Road,Toorak,VIC,3142,"On arrival, Door on blast chiller in kitchen not closing properly and automatically. Spoke with Luke from Skope who said another technician/contractor recently attended and replaced the door. Tried to adjust hinge and tightened as instructed, did not help. Removed what i thought was the tensioning hinge from door. Nothing there to actually create tension. Luke is trying to get in contact with previous contractor and find out if possibly something is missing. Will return once we have been advised of the best course of action. Freezer temp etc ok.
(20/05/2024) - Technician Note
Arrive to site
inspect freezer and found top hinge fouling and not allowing door to close fully
spoke to Darwin and he is arranging new top hinge for this freezer 
bottom door adjuster bracket should be flush to cabinet but washers hanve been installed 
when fitting replacement hinge these washers need to be removed 
BRING TORX BITS TO SITE
Did replace parts
Door shuts well
Chef is happy","Call Out,Labour,Labour,Labour,Travel Time","85.0000,213.7500,95.0000,95.0000,71.2500",560.0000,56.01,616.0100
SKOPE Industries,SKOPE INDUSTRIES,SIL-1286044R,Repair,,,Completed Successfully,H24033210,,,LUKE - SKOPE,30/04/2024 1:58:00 PM,24/05/2024 2:14:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DOOR FRIDGE,Outlet,,,CCEP - COCA COLA,262 Orchard Road,Richlands,QLD,4077,"Inspect fridge and take photos. Unit has been dropped from a height. It appears the whole cabinet et is out of square, the right side having been lifted upwards. See pics for details. Have asked Luke to sight these pics.
Advised by LC to close job off.","Call Out,Labour,Tolls","67.0000,68.0000,10.0000",145.0000,14.50,159.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1287376R,Repair,c5436c61,,Completed Successfully,HA231118194,,,Neil brooks ,1/05/2024 2:28:04 PM,14/06/2024 3:47:24 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,ActiveCore BME1200N-A 2 door Refrigerator,Outlet,,,The Point Tavern, 7 Conder Parade,Midge Point,QLD,4799,"Attend and diagnosed faulty controller and control sensor.
Ordered parts.
Returned and disassembled unit to replace control probe and controller. Set parameters as per specs for unit using APP.
Tested and ran unit and ensured Bluetooth connectivity working.","Call Out,Labour,CONTROLLER.,CONTROL PROBE","165.0000,495.0000,0.0000,0.0000",660.0000,66.00,726.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1289592R,Repair,,,Completed Successfully,A230316544,,,Tayla,7/05/2024 1:07:00 PM,6/06/2024 1:31:44 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,TMF1500N-A,Outlet,,,Tea Garden Fish Market,46 Marine Drive,Tea Gardens,NSW,2324,Checked and found middle door has broken vapour seal. Spare parts required. Door opens from left to right. See attached pics. Set up in SCS field & SCS tracked info.,"Call Out,Labour,Travel Time","85.0000,85.0000,170.0000",340.0000,34.00,374.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1289592R,Repair,,,Completed Successfully,A230316544,,,Tayla,7/05/2024 1:07:00 PM,6/06/2024 1:31:44 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,TMF1500N-A,Outlet,,,Tea Garden Fish Market,46 Marine Drive,Tea Gardens,NSW,2324,Travelled with 2nd tech 1hr to and from regional site (100kms each way). Removed and replaced middle door and wired in anti-sweat heaters. Took old door to waste disposal centre.,"Labour,Travel Time,RHS DOOR,Disposal fees","425.0000,340.0000,0.0000,100.0000",865.0000,86.50,951.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1290676R,Repair,,,Completed Successfully,A200612804,,,Charles Brett,9/05/2024 11:24:00 AM,14/05/2024 10:52:54 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OD1100,Outlet,,,Crustys Bakery,30 Reibey Street,Ulverstone,TAS,7315,"Check operation & find low in refrigerant. Clean condenser
Removed cassette from fridge. Leak test & de-ice coil. Clean cabinet drain. Repair leak on compressor pipe.
Leak test, vac out & recharge with 1Kg R404A. Fit cassette back into cabinet. Test run, all okay.","Call Out,Labour,Travel Time,Labour,Travel Time,R404A Silver Solder Scharader Valve","90.0000,90.0000,0.0000,225.0000,0.0000,67.0000",472.0000,47.20,519.2000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1291018R,Repair,,,Completed Successfully,HA231118436,,,Jayme-Lee White - Harvey Norman,9/05/2024 5:56:00 PM,11/06/2024 2:59:27 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DOOR,Outlet,,,CBRE,15 Lake Street,Cairns City,QLD,4870,"23/05/2024Travelled to workshop and collected controller. Travelled to site, isolated fridge removed and replaced controller. Downloaded APP and installed software into controller as per instruction sheet. Lights went out and alarm bell displayed. Could not get onto tech support but went through everything with Lisa from Skope. Removed software and re-installed lights on now but alarm bell still present.

04/06/2024
Travelled to site, inspected fridge and finally got onto Luke from Tech support. Loaded right software into fridge, came up with door open sensor. Pulled fridge apart and found that door sensor had been left unplugged from factory. Plugged in and monitored fridge, all ok. Put fridge back together.","Call Out,Labour,PROBE,CONTROLLER.","55.0000,500.0000,0.0000,0.0000",555.0000,55.50,610.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1291837R,Repair,,,Completed Successfully,A230115612,,,Aaron,10/05/2024 2:40:00 PM,7/06/2024 1:55:42 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,1 DOOR,Outlet,,,SLINGSHOT Gold Coast,32 Cavill Avenue,Surfers Paradise,QLD,4217,"Service call to site and checked fridge found condensor fan motor faulty also fridge door needs reversal kit please supply moto an kit
Travelled to site and replaced faulty condensor fan motor. Then conducted door reversal on cabinet. Ran and tested and fitted door handle and registered cabinets. Ran to temperature. O.K.","Labour,Travel Time,condenser fan motor,SM60BYN/D100-49      BME/SKB600N LH DOOR KIT BLACK,GLD11863L-BK               SKB600N A/C LH DOOR BLACK,Consumables,Call Out,Labour","225.0000,45.0000,0.0000,0.0000,0.0000,10.0000,90.0000,90.0000",460.0000,46.00,506.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1292231R,Repair,,,Completed Successfully,HA230311452,,,Matterhorn,13/05/2024 12:49:00 PM,3/06/2024 11:07:35 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,TMF1000 - ActiveCore Freezer,Outlet,,,Grocery Land,300 Huntingdale Road,Huntingdale,VIC,3166,"Attended site and isolated Skope display. Removed the faulty controller out of the system and installed the new one in its place. 
Downloaded the New parameters and insure the lights worked correctly","Call Out,Labour,CONTROLLER.","90.0000,90.0000,0.0000",180.0000,18.00,198.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1292264R,Repair,,,Completed Successfully,3005881051201048,,,Dan,13/05/2024 1:56:00 PM,26/06/2024 1:39:29 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DR SOLID UPRIGHT FRIDGE,Outlet,,,Bakers Delight Mount Waverley,49 Hamilton Place,Mount Waverley,VIC,3149,"Arrived on site and identified correct unit. Removed right hand side door magnate and kit sensor from the door. Installed new msg Andy and door sensor provided by skope. Door correctly closes and engages now. Unit is in good working condition
Joseph Giovino (12/06/2024) - Work Note
Arrived on site and shop is temporarily closed due to renovations. Went to the back of the store where fridge sans
freezers were located and they were all covered up with sheets over the top of them. We will need to re-attend when
shop fit out is near finished or when shop re-opens up
Joseph Giovino (26/06/2024) - Work Note
Arrived on site and identified correct unit. Removed right hand side door magnate and kit sensor from the door. Installed
new msg Andy and door sensor provided by skope. Door correctly closes and engages now. Unit is in good working
condition.","Call Out,Labour,door magnet,Labour,door magnet","90.0000,90.0000,0.0000,180.0000,0.0000",360.0000,36.00,396.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1292390R,Repair,,,Completed Successfully,A230316468,,,Danielle Moy,13/05/2024 8:46:25 PM,4/06/2024 10:29:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OD1100,Outlet,,,IGA Allambie Heights,15 Grigor Place,Allambie Heights,NSW,2100,"Attended site to look at fridge not cooling and tripping circuit. Tested components and found compressor down to earth. Will require a deck swap. Blocked condenser likely cause of failed compressor.
Received new deck attended site to install removed old deck to be taken Away installed new unit and set parameters fridge now working as it should.","Call Out,Labour,Labour,DECK","75.0000,85.0000,255.0000,0.0000",415.0000,41.50,456.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1292490R,Repair,,,Completed Successfully,A220913959,,,Richard Salt - Tech support.,14/05/2024 9:05:00 AM,5/06/2024 2:12:33 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,PP2F/V1004,Outlet,,,Happy Pops Mooloolaba,13 Mooloolaba Esplanade,Mooloolaba,QLD,4557,"Travel to site and gain access to system.

Replace Evap fan assembly as per instructions provided.

Modify control parameters as per instructions provided.

Test and all ok","Call Out,Labour","80.0000,80.0000",160.0000,16.00,176.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1292907R,Repair,,,Completed Successfully,A231019989,,,Patrick,15/05/2024 9:26:00 AM,5/06/2024 12:30:38 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OD460,Outlet,,,Soul Origin - Pacific Fair,32 Hooker Boulevard,Broadbeach Waters,QLD,4218,Travelled to site and repaired broken cabling on cabinet. Secured and ran and tested. O.K.,"Call Out,Labour,ELT11349,O720/X03,ELZ11341-RD,FLX10960","90.0000,135.0000,0.0000,0.0000,0.0000,0.0000",225.0000,22.50,247.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1293059R,Repair,,,Completed Successfully,A220511816,,,Nisbets,15/05/2024 12:33:00 PM,21/06/2024 4:54:27 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,PG21.UPR.1,Outlet,,,Black Cockatoo Bakery,1 Staples Crescent,Lawson,NSW,2783,installation of new panels on Skope upright fridge,"Labour,SKC-2-180-0234-0,SKC-0-010-0036-0,RHS PANEL","350.0000,0.0000,0.0000,0.0000",350.0000,35.00,385.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1293105R,Repair,,,Completed Successfully,A230919450,,,Craig,15/05/2024 2:33:00 PM,10/06/2024 11:21:23 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OD720,Outlet,,,Café de Lourdes,86 Hawthorne Road,Hawthorne,QLD,4171,"Travelled to site and reinstalled shelves correctly in cabinet. Made sure light wiring was secured and not hanging down. Registered cabinet and ran down to temperature. Found bottom of shelves not powder coated.
Will need to be replaced. 
Also please send over some clips for cable.
Travelled to site and removed product from cabinet. Installed new shelves and repacked cabinet. Ran and tested. O.K.","Call Out,Labour,Labour,Travel Time,shelves ( Top & Middle ),Clips ( For cables )","90.0000,180.0000,135.0000,45.0000,0.0000,0.0000",450.0000,45.00,495.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1293279R,Repair,,,Completed Successfully,A230416790,,,LUKE C,16/05/2024 9:14:00 AM,21/05/2024 1:23:43 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OD460,Outlet,,,Ampol Foodary Yatala North,Lot 1 Lloyds Lane,Yatala,QLD,4207,"Fit supplied motors as instructed. Test ok, cooling normally.","Call Out,Labour,EVAP FAN MOTOR,Tolls in,Test and tag,Postage","67.0000,68.0000,0.0000,10.0000,3.0000,15.0000",163.0000,16.30,179.3000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1294265R,Repair,d08a2549,,Completed Successfully,HA200712089,,,Joep Dekker ,20/05/2024 9:08:25 AM,3/06/2024 7:41:51 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DOOR,Outlet,,,Avenue Cafe, 58 Torquay Road,Pialba,QLD,4655,"Attended site. Found unit running but no heat coming from condenser. Logged in to field service and found condenser temp too low. Unit ia out of gas. Will speak to SSA on how they want to proceed.
Returned to site. Swapped deck and tested ok","Call Out,Labour,Labour,DECK","85.0000,85.0000,85.0000,0.0000",255.0000,25.50,280.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1294431R,Repair,,,Completed Successfully,2205000486474,,,Cooltech,20/05/2024 11:26:00 AM,5/06/2024 9:48:59 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,GALA,Outlet,,,Jamaica Blue Robina,Robina Town Centre Drive,Robina,QLD,4226,"Travelled to site and found unit shit down. Found fault flashing for cycle over 60 mins. Found plate sensor faulty. Obtained temporary one and changed. Ran and tested and serviced machine. Require new plate sensor so it can be replaced.
Travelled to site and installed plate sensor. Watched cycle and checked operation. O.k.","Call Out,Labour,Consumables,Labour,Travel Time,plate sensor","90.0000,135.0000,10.0000,135.0000,45.0000,0.0000",405.0000,40.50,445.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1294614R,Repair,,,Futile,2210000589872,,,Abdoh Bayatly,20/05/2024 3:11:00 PM,3/06/2024 4:14:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,GALA,Outlet,,,Take Two Bagels, 170 Union Road,Ascot Vale,VIC,3032,"Arrived at site and found the unit was switched off and full of water. I’ve found the water filter housing had exploded so I removed it from the system. Then switched it on, I’ve then watched it drain it self and start producing ice I stayed until the first batch was made. I’ve also noticed that the system does not have a pressure Reducing valve before the filter which most likely caused the problem. 

we will need to return with a pressure reducing valve and new filter assembly","Call Out,Labour","90.0000,90.0000",180.0000,18.00,198.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1294659R,Repair,,,Completed Successfully,HA210613001,,,Bec Croft,20/05/2024 3:26:00 PM,28/06/2024 2:16:54 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,ActiveCore BME1200N-A 2 door Refrigerator,Outlet,,,Stockman Hotel, 3 High Street,Texas,QLD,4385,"06/06/2024 - JON & NICK
Attended site
Met with staff
Located 2 door slope fridge in kitchen
Discussed issues with staff
Staff informed of broken Evap fan blade
Skope delivered only fan motors not blades
Let site contact know that a return is required
Requires replacement fan blade
Skope will send parts out
28/06/2024 JON & NICK
Attended site
Met with staff
Located 2 door skope fridge
Remove unit from underneath case
Removed cover of unit
Pulled Evaperator blade off of motor
Replaced with new fan blade - supplied by Skope
Cleaned condenser coil and wiped down system
Reassembled unit
Put refrigeration unit back in to place
Tested operation
Monitored temp down to 1 degree
Packed tools left site
Returned to site before leaving Texas
Checked condition of fan
Monitored temp back down to 1 degree
Packed tools left site","Labour,Extra Labour,Travel Distance,evap fan motor,fan blade,Sundries","540.0000,467.5000,600.0000,0.0000,0.0000,20.0000",1627.5000,162.75,1790.2500
SKOPE Industries,SKOPE INDUSTRIES,SIL-1294972R,Repair,,,Futile,HA230513579,,,Bobby - 0421931552,21/05/2024 9:39:00 AM,22/05/2024 5:33:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,BME600N-A 1 Door upright,Outlet,,,The Brightside,1 Surfview Road,Mona Vale,NSW,2103,"Attended site to look at issue with cabinet tripping power. Power tripping immediately. Opened junction box and found water in there, also found exposed wiring. Vermin have chewed through multiple cables. Vermin droppings inside box. Skope to advise if this is covered under warranty.","Call Out,Labour","75.0000,85.0000",160.0000,16.00,176.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1295049R,Repair,d380fc95,,Completed Successfully,3002882111703006,,,Nathan Cleverly ,21/05/2024 11:44:45 AM,4/06/2024 10:12:06 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,1 DR SOLID UPRIGHT FREEZER,Outlet,,,St Phillips Christian College, 57 High Street,Waratah,NSW,2298,"Checked and found noisy condensor fan motor. Spare parts required. Will remove evap box and reseal on return.
Returned to site with parts and removed and replaced condensor fan motor. Removed evaporator box, cleared drain path & dried up all excess water where possible. Liaise with site and left unit outside in sun to dry any residual water. Advise site to put back into place this afternoon and switch on.","Call Out,Labour,Labour,Travel Time,Condenser fan motor","85.0000,85.0000,170.0000,42.5000,0.0000",382.5000,38.25,420.7500
SKOPE Industries,SKOPE INDUSTRIES,SIL-1295150R,Repair,,,Completed Successfully,3002882062201018,,,TCE - Dealer,21/05/2024 2:00:00 PM,7/06/2024 12:42:24 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,1 DR SOLID UPRIGHT FREEZER,Outlet,,,Mamma Caterina,7 Burton Street,Mount Barker,SA,5251,"Attended site for freezer noisy, found turned off on arrival turned on freezer and monitored to find no noisy, spoke with customer and found freezer was icing up, checked defrost heaters and drain for blockages, blew out with nitrogen monitored temperature and found coming down. Found foam box slightly damaged and not sealing correctly also missing black box clips.
Replaced foam box and turned unit and ran down to temp.","Call Out,Labour,Travel Time,Nitrogen,Labour,FOAM BOX,BOX CLIPS","80.0000,120.0000,80.0000,30.0000,80.0000,0.0000,0.0000",390.0000,39.00,429.0000
